K_m2,K_eq_m2,keq_kpm,Throat_Lx,Av_VugArea,P_Area,P_Area_100,Perim,R,Perimeter-H_At,SD_Cy,WSD_Cy,MajorLenght,Std_dist_cm,Alignment,WAv_Ly,WAv_Lx_semcalc,Eccent,MinorLenght,Macroporosity,Vugs,Sample,Grid,Seed,WAv_Lx
1.00E-15,1.17E-15,1.17,0,0,4.51,0.04514216,9714.114,0,15.517754,188.49,195.32,54.33,0,0.508997,0,0.25,0.82,20.4,0,1,1,1,1,
1.00E-15,1.24E-15,1.24,0,0,6.15,0.06154054,11333.107,0,18.104005,185.31,203.21,74.8,0,0.57669,0,0.38,0.84,32.45,0,1,2,1,1,
1.00E-15,1.17E-15,1.17,0,0,4.76,0.0475645,10913.957,0,17.434436,206.83,191.06,40.35,0,0.485856,0,0.16,0.79,19.22,0,2,1,1,1,
1.00E-15,1.24E-15,1.24,0,0,6.23,0.06232969,10139.315,0,16.196989,206.5,217.52,135.88,0,0.638916,0,0.81,0.87,50.99,0,2,2,1,1,
1.00E-15,1.23E-15,1.23,0,0,5.96,0.05961237,13579.903,0,21.693136,191.3,193.89,51.02,0,0.513086,0,0.23,0.82,19.81,0,1,1,2,1,
1.00E-15,1.33E-15,1.33,0,0,8.05,0.08053621,15187.866,0,24.261767,187.28,198.15,72.37,0,0.566454,0,0.36,0.83,32.67,0,1,2,2,1,
1.00E-15,1.25E-15,1.25,0,0,6.34,0.06337805,14379.755,0,22.970855,206.77,191.72,41.48,0,0.499752,0,0.17,0.79,19.64,0,2,1,2,1,
1.00E-15,1.31E-15,1.31,0,0,7.81,0.07807684,14033.589,0,22.417874,196.36,216.4,118.87,0,0.602544,0,0.7,0.86,45.13,0,2,2,2,1,
1.00E-15,1.10E-15,1.1,0,0,2.44,0.02441242,5312.871,0,8.487014,194.12,198.23,62.06,0,0.507276,0,0.27,0.87,18.28,0,1,1,3,1,
1.00E-15,1.15E-15,1.15,0,0,3.82,0.0382199,6314.98,0,10.087827,191.55,213.95,82.27,0,0.594929,0,0.43,0.87,33.69,0,1,2,3,1,
1.00E-15,1.09E-15,1.09,0,0,2.71,0.02705184,6060.502,0,9.681313,216.48,193.4,44.14,0,0.493121,0,0.17,0.79,21.14,0,2,1,3,1,
1.00E-15,1.14E-15,1.14,0,0,3.97,0.03973945,5349.455,0,8.545455,211.68,204.45,163.11,0,0.699943,0,0.96,0.88,61.35,0,2,2,3,1,
1.00E-15,1.88E-15,1.88,0,0,17.51,0.17513529,34934.904,0,55.806556,186.69,193.04,65.33,0,0.470096,0,0.3,0.82,29.48,0,1,1,4,1,
1.00E-15,2.06E-15,2.06,0,0,19.33,0.19327158,35181.703,0,56.200804,189.11,196.59,87.18,0,0.529169,0,0.41,0.82,38.99,0,1,2,4,1,
1.00E-15,1.84E-15,1.84,0,0,15.69,0.15689429,31754.249,0,50.725637,193.77,197.34,52,0,0.542084,0,0.25,0.79,27.75,0,2,1,4,1,
1.00E-15,1.82E-15,1.82,0,0,17.14,0.17139388,30915.719,0,49.386133,187.05,205.47,91.54,0,0.48116,0,0.49,0.82,38.64,0,2,2,4,1,
1.00E-15,1.42E-15,1.42,0,0,10.91,0.10914208,22432.498,0,35.834661,187.16,189.36,51.45,0,0.476465,0,0.24,0.8,23.27,0,1,1,5,1,
1.00E-15,1.52E-15,1.52,0,0,12.75,0.12747374,23273.093,0,37.177465,189.81,195.21,66.87,0,0.553715,0,0.33,0.81,30.8,0,1,2,5,1,
1.00E-15,1.38E-15,1.38,0,0,10.32,0.10321072,20684.222,0,33.041888,206.39,193.69,40.92,0,0.478772,0,0.17,0.78,20.37,0,2,1,5,1,
1.00E-15,1.45E-15,1.45,0,0,11.6,0.11604901,19915.198,0,31.813415,194.27,211.95,102.91,0,0.547652,0,0.57,0.82,40.67,0,2,2,5,1,
