K_m2,K_eq_m2,keq_kpm,Throat_Lx,Av_VugArea,P_Area,P_Area_100,Perim,R,Perimeter-H_At,SD_Cy,WSD_Cy,MajorLenght,Std_dist_cm,Alignment,WAv_Ly,WAv_Lx_semcalc,Eccent,MinorLenght,Macroporosity,Vugs,Sample,Grid,Seed,WAv_Lx
1.00E-15,1.17E-15,1.17,0,0,4.53,0.0453,8026.832,0,16.93,143.13,147.81,47.16,0,0.618252,0,38.9,0.83,16.96,0,1,1,1,1,3.10951239
1.00E-15,1.23E-15,1.23402,0,0,5.97997,0.0598,11212.865,0,23.655833,144.69503,146.717906,44.219881,0,0.617784,0,36.65,0.837576,16.492471,0,1,1,2,1,2.929656275
1.00E-15,1.10E-15,1.09608,0,0,2.457612,0.02458,4412.331,0,9.308715,147.002535,150.086607,53.811034,0,0.602985,0,42.88,0.868678,15.293382,0,1,1,3,1,3.427657874
1.00E-15,1.88E-15,1.88185,0,0,17.564793,0.17565,28848.855,0,60.862563,141.297263,146.201519,56.038039,0,0.593147,0,47.48,0.815471,25.048054,0,1,1,4,1,3.795363709
1.00E-15,1.42E-15,1.42,0,0,10.96,0.1096,18501.61,0,39.03,141.62,143.34,44.45,0,0.604368,0,37.54,0.81,19.49,0,1,1,5,1,3.000799361
1.00E-15,1.24E-15,1.24224,0,0,6.169208,0.06169,9500.787,0,20.043854,140.317518,153.820371,65.445,0,0.675498,0,60.31,0.855397,26.850394,0,1,2,1,1,4.820943245
1.00E-15,1.33E-15,1.32506,0,0,8.074479,0.08074,12740.074,0,26.877793,141.806364,150.014581,62.921117,0,0.664369,0,56.47,0.852955,27.065965,0,1,2,2,1,4.513988809
1.00E-15,1.15E-15,1.15365,0,0,3.827859,0.03828,5311.039,0,11.204724,145.045055,161.970026,72.153656,0,0.677929,0,67.59,0.881782,27.828837,0,1,2,3,1,5.402877698
1.00E-15,2.06E-15,2.05854,0,0,19.385783,0.19386,29318.839,0,61.854091,143.1185,148.853711,74.910029,0,0.642347,0,65.24,0.836222,32.812729,0,1,2,4,1,5.215027978
1.00E-15,1.52E-15,1.51663,0,0,12.796224,0.12796,19410.101,0,40.94958,143.725455,147.817725,58.224198,0,0.661634,0,52.59,0.83181,25.535529,0,1,2,5,1,4.20383693
1.00E-15,1.17E-15,1.16849,0,0,4.766978,0.04767,9045.615,0,19.083576,156.605975,144.721484,33.975107,0,0.617563,0,25.77,0.815364,16.17954,0,2,1,1,1,2.059952038
1.00E-15,1.25E-15,1.24673,0,0,6.347843,0.06348,11945.751,0,25.202006,156.561243,145.142658,35.125084,0,0.622322,0,27.08,0.814055,16.513506,0,2,1,2,1,2.164668265
1.00E-15,1.09E-15,1.09231,0,0,2.710458,0.0271,5022.556,0,10.59611,163.920078,146.345554,36.97897,0,0.625325,0,27.44,0.820476,17.903028,0,2,1,3,1,2.193445244
1.00E-15,1.84E-15,1.83891,0,0,15.752815,0.15753,26356.19,0,55.603776,146.709875,149.451902,46.085677,0,0.66249,0,40.13,0.812484,22.423698,0,2,1,4,1,3.207833733
1.00E-15,1.38E-15,1.38207,0,0,10.359109,0.10359,17121.239,0,36.120757,156.276173,146.682622,34.761859,0,0.609074,0,27.66,0.791732,17.13089,0,2,1,5,1,2.211031175
1.00E-15,1.24E-15,1.24456,0,0,6.244832,0.06245,8409.493,0,17.741546,156.264872,164.594281,126.494755,0,0.720483,0,128.29,0.881248,39.40831,0,2,2,1,1,10.254996
1.00E-15,1.31E-15,1.31447,0,0,7.817215,0.07817,11608.778,0,24.491093,148.686122,163.80843,110.264555,0,0.690772,0,111.44,0.866718,35.098302,0,2,2,2,1,8.908073541
1.00E-15,1.14E-15,1.14094,0,0,3.981582,0.03982,4431.547,0,9.349255,160.277054,154.774394,152.860039,0,0.756275,0,152.35,0.896023,47.006671,0,2,2,3,1,12.17825739
1.00E-15,1.82E-15,1.81622,0,0,17.166175,0.17166,25474.719,0,53.744133,141.635132,155.573766,82.545576,0,0.598447,0,77.49,0.810104,31.275312,0,2,2,4,1,6.194244604
1.00E-15,1.45E-15,1.45347,0,0,11.613447,0.11613,16342.599,0,34.478057,147.251332,160.476659,94.716371,0,0.659526,0,91.3,0.829467,31.981243,0,2,2,5,1,7.298161471
