Macroporosity,Vugs,Sample,Grid,R,P_Area_100,WAv_Lx,Alignment,Alignment2,Eccent,keq_fit,keq_simulation,Relative_error2
0.02,35,aleatory,grid-10,r1,0.0195773,1.95762,0.630302,0.0468942,0.147216,1.01005,1.04175,0.0304301
0.02,35,aleatory,grid-15,r1,0.0197433,1.98451,0.598945,0.0540352,0.154857,1.0101,1.04186,0.0304894
0.02,35,aleatory,grid-19,r1,0.0198285,2.12784,0.636082,0.114909,0.212025,1.01104,1.04273,0.0303992
0.02,35,aleatory,grid-20,r1,0.0197922,1.91568,0.533688,0.01,0.11617,1.00931,1.04259,0.0319168
0.02,35,aleatory,grid-30,r1,0.0197529,1.91088,0.610818,0.01,0.122273,1.00981,1.04129,0.0302275
0.04,70,aleatory,grid-10,r1,0.0388972,2.044,0.61303,0.0876122,0.20566,1.03258,1.08426,0.0476647
0.04,70,aleatory,grid-15,r1,0.0393898,1.98986,0.546097,0.0542248,0.200364,1.03132,1.0845,0.049033
0.04,70,aleatory,grid-19,r1,0.0396706,2.21368,0.46952,0.0935742,0.314886,1.03256,1.08435,0.0477599
0.04,70,aleatory,grid-20,r1,0.0395736,1.91092,0.568878,0.01,0.118365,1.03016,1.0851,0.0506318
0.04,70,aleatory,grid-30,r1,0.039555,1.91701,0.671221,0.01,0.11922,1.03223,1.08579,0.0493264
0.05,87,aleatory,grid-10,r1,0.0484082,1.96633,0.518037,0.0216851,0.190709,1.04278,1.10421,0.0556323
0.05,87,aleatory,grid-15,r1,0.0489006,2.00614,0.559828,0.0657935,0.214414,1.04571,1.10985,0.0577928
0.05,87,aleatory,grid-19,r1,0.0492554,2.28649,0.528333,0.142441,0.317937,1.04964,1.11174,0.0558657
0.05,87,aleatory,grid-20,r1,0.0491994,1.91766,0.536497,0.01,0.11815,1.04237,1.1119,0.0625336
0.05,87,aleatory,grid-30,r1,0.0491771,1.9234,0.585952,0.01,0.117962,1.04388,1.10957,0.059198
0.06,105,aleatory,grid-10,r1,0.0574799,2.2014,0.554745,0.119473,0.275711,1.06349,1.13282,0.061203
0.06,105,aleatory,grid-15,r1,0.0589188,1.99211,0.521702,0.0546076,0.230957,1.06074,1.13141,0.062465
0.06,105,aleatory,grid-19,r1,0.0595193,2.31088,0.50756,0.122686,0.337309,1.06755,1.13437,0.0589091
0.06,105,aleatory,grid-20,r1,0.0593638,1.91953,0.57992,0.01,0.124042,1.05992,1.1394,0.069755
0.06,105,aleatory,grid-30,r1,0.0593491,1.91882,0.617946,0.01,0.120254,1.06125,1.13123,0.0618603
0.08,140,aleatory,grid-10,r1,0.077156,2.10134,0.58481,0.0978307,0.256256,1.10277,1.18218,0.0671697
0.08,140,aleatory,grid-15,r1,0.078254,2.14055,0.556482,0.0986412,0.260159,1.1042,1.1873,0.0699873
0.08,140,aleatory,grid-19,r1,0.0794003,2.41774,0.566276,0.171119,0.373002,1.11716,1.19296,0.0635391
0.08,140,aleatory,grid-20,r1,0.0792507,1.9172,0.531354,0.01,0.124252,1.09348,1.19703,0.0865046
0.08,140,aleatory,grid-30,r1,0.0790774,1.91786,0.550862,0.01,0.120803,1.09427,1.17951,0.072268
0.1,175,aleatory,grid-10,r1,0.0961863,2.13067,0.556619,0.107811,0.268511,1.14683,1.22925,0.0670466
0.1,175,aleatory,grid-15,r1,0.0975327,2.13057,0.544842,0.105488,0.310474,1.15075,1.23696,0.0696902
0.1,175,aleatory,grid-19,r1,0.0992576,2.44718,0.542126,0.188816,0.393299,1.16848,1.25819,0.0712986
0.1,175,aleatory,grid-20,r1,0.0991217,1.92289,0.585664,0.01,0.12908,1.14143,1.24471,0.0829762
0.1,175,aleatory,grid-30,r1,0.0988709,1.91688,0.575592,0.01,0.117836,1.13865,1.22822,0.0729241
0.12,210,aleatory,grid-10,r1,0.115503,2.11001,0.604451,0.114935,0.253373,1.2036,1.28208,0.0612096
0.12,210,aleatory,grid-15,r1,0.116544,2.25394,0.56279,0.187426,0.354704,1.21296,1.29649,0.0644289
0.12,210,aleatory,grid-19,r1,0.119196,2.72995,0.521748,0.1997,0.405351,1.23729,1.30571,0.0524016
0.12,210,aleatory,grid-20,r1,0.11894,1.92147,0.575473,0.01,0.124827,1.1895,1.31735,0.097053
0.12,210,aleatory,grid-30,r1,0.118608,1.91657,0.563504,0.01,0.116832,1.18585,1.28439,0.0767264
0.14,245,aleatory,grid-10,r1,0.130097,2.22641,0.524469,0.150634,0.331002,1.24582,1.34069,0.0707616
0.14,245,aleatory,grid-15,r1,0.135546,2.46201,0.581228,0.193053,0.329877,1.28715,1.36224,0.0551201
0.14,245,aleatory,grid-19,r1,0.139236,3.18162,0.513152,0.263585,0.522363,1.3346,1.42759,0.0651345
0.14,245,aleatory,grid-20,r1,0.138838,1.92306,0.591337,0.01,0.127993,1.2482,1.36427,0.0850834
0.14,245,aleatory,grid-30,r1,0.138431,1.91809,0.536126,0.01,0.112558,1.2349,1.34139,0.0793823
0.15,262,aleatory,grid-10,r1,0.139655,2.27652,0.550367,0.14344,0.338301,1.28527,1.37251,0.0635646
