Macroporosity,Vugs,Count,Sample,Grid,R,P_Area_100,WAv_Lx,Alignment,Alignment2,Eccent,keq_simulation,WAv_ly,Lx_norm,Ly_norm,Perimeter,EquivDiameter,Major,Minor,DifMajorMinor,Av_Area,Std_area,var_Area,Std_Lx,var_Lx
0.02,35,35,aleatory,grid-10,r1,0.0197755,1.92177,0.620473,0.01,0.127489,1.04209,1.90408,0.0192177,0.0380817,0.0425501,79.6565,80.0343,79.3448,0.689509,0.0565015,17.2785,298.546,0.000261914,6.85989e-08
0.02,35,34,aleatory,grid-15,r1,0.0197524,1.98961,0.643769,0.0541397,0.155464,1.04197,1.90744,0.0198961,0.0381488,0.0441509,81.3617,84.0408,79.584,4.45685,0.0580952,767.595,589202,0.0026151,6.83875e-06
0.02,35,34,aleatory,grid-19,r1,0.0197896,1.9109,0.522315,7.83979e-05,0.163675,1.04068,2.01559,0.019109,0.0403118,0.0448387,81.5868,85.6412,79.3981,6.24308,0.0582046,865.283,748715,0.000147225,2.16753e-08
0.02,35,35,aleatory,grid-20,r1,0.0197976,1.92043,0.504823,0.01,0.123772,1.04176,1.92044,0.0192043,0.0384089,0.0425598,79.701,80.0554,79.4124,0.643029,0.0565646,18.6421,347.529,0.000191026,3.64908e-08
0.02,35,35,aleatory,grid-30,r1,0.0197662,1.91634,0.556672,0.01,0.114805,1.04147,1.90954,0.0191634,0.0381908,0.0425413,79.6376,79.9518,79.3902,0.561562,0.0564749,12.9737,168.316,0.00025416,6.45973e-08
0.04,70,66,aleatory,grid-10,r1,0.0388749,1.99511,0.608639,0.0608122,0.182276,1.09013,1.95858,0.0199511,0.0391716,0.0442946,82.0393,85.1684,79.7284,5.44002,0.0589014,833.046,693966,0.00205747,4.23317e-06
0.04,70,66,aleatory,grid-15,r1,0.0394161,1.90808,0.499898,0.000173802,0.202261,1.08445,2.06722,0.0190808,0.0413444,0.0453748,83.0162,88.0714,79.6974,8.37401,0.0597214,1067.32,1.13918e+06,0.000172851,2.98775e-08
0.04,70,64,aleatory,grid-19,r1,0.0396276,2.18084,0.62062,0.100512,0.24427,1.09088,2.01411,0.0218084,0.0402821,0.0499639,86.0604,99.5021,79.4515,20.0505,0.061918,1733.23,3.00409e+06,0.00573866,3.29322e-05
0.04,70,70,aleatory,grid-20,r1,0.0395703,1.91497,0.582795,0.01,0.115464,1.08559,1.90342,0.0191497,0.0380685,0.0425322,79.6759,79.9933,79.4264,0.566926,0.056529,16.717,279.458,0.000238342,5.68067e-08
0.04,70,70,aleatory,grid-30,r1,0.0395552,1.91567,0.551657,0.01,0.118003,1.08432,1.91428,0.0191567,0.0382856,0.0425483,79.6607,79.9898,79.398,0.591785,0.0565075,16.5051,272.418,0.000238735,5.69945e-08
