Macroporosity,Sample,Count,P_Area_100,WAv_Lx,Alignment,Alignment2,Eccent,keq_simulation,WAv_ly,Lx_norm,Ly_norm,Perimeter,EquivDiameter,Major,Minor,DifMajorMinor,Av_Area,Std_area,var_Area,Std_Lx,var_Lx
1,5,396,0.0137771,1.17196,0.587639,0.158397,0.823813,1.02,0.877901,0.0117196,0.0175721,0.0215316,10.0803,16.9743,7.46936,9.50493,0.00347908,44.9587,2021.28,0.00498838,2.49E-05
1,8,281,0.0205608,1.70856,0.601714,0.264706,0.808948,1.06,1.41734,0.0170856,0.0283695,0.0376744,15.7303,24.3931,12.6296,11.7635,0.00731702,104.523,10925.1,0.00643116,4.14E-05
2,5,711,0.0390126,2.36268,0.594161,0.301631,0.820418,1,1.5456,0.0236268,0.0309367,0.0516738,19.1623,32.099,14.5701,17.5289,0.00548701,146.872,21571.3,0.00635008,4.03E-05
2,8,407,0.0378795,2.61782,0.587499,0.364057,0.805317,1.06,2.1926,0.0261782,0.0438871,0.0761764,22.9705,39.0354,20.9708,18.0646,0.00930699,204.719,41909.9,0.00801511,6.42E-05
3,5,543,0.0248582,1.47985,0.564029,0.215443,0.823534,1.02,1.07504,0.0147985,0.0215179,0.0304829,12.1954,20.72,9.23295,11.487,0.00457794,66.4345,4413.54,0.00559035,3.13E-05
3,8,363,0.0311188,2.02105,0.575036,0.324599,0.798356,1.08,1.65757,0.0202105,0.033178,0.0472983,18.1088,28.5369,15.2087,13.3282,0.00857267,132.725,17615.9,0.00733681,5.38E-05
4,5,1197,0.120719,3.3818,0.608433,0.426698,0.844986,1.47,2.08271,0.033818,0.0416876,0.0794831,23.0218,50.3499,17.1139,33.236,0.0100851,211.632,44788,0.0106936,0.000114354
4,8,739,0.122621,4.35282,0.515778,0.394668,0.810457,1.47,4.33991,0.0435282,0.0868676,0.144756,37.8193,64.559,32.7961,31.7629,0.0165928,459.02,210699,0.0118226,0.000139775
5,5,514,0.35952,33.6412,0.750843,0.723871,0.886932,6.43,16.596,0.336412,0.332186,1.59845,156.574,424.31,153.725,270.585,0.0699456,3845.59,1.48E+07,0.0484532,0.00234771
5,8,512,0.371736,39.7502,0.821599,0.798077,0.861196,7.42,18.7848,0.397502,0.375997,2.49357,195.289,490.591,212.645,277.946,0.0726047,4937.44,2.44E+07,0.0496825,0.00246835
6,5,519,0.434387,24.2489,0.699219,0.664173,0.852573,11.01,10.9886,0.242489,0.219948,1.08511,123.339,316.349,105.26,211.089,0.0836968,3251.72,1.06E+07,0.0478842,0.0022929
6,8,595,0.276522,10.6943,0.582343,0.465247,0.786443,2.97,7.59042,0.106943,0.15193,0.407434,70.3407,141.615,63.1576,78.4577,0.0464744,1489.63,2.22E+06,0.0235514,0.00055467
